iter	Passed	Remaining
401	12309	18311
402	12337	18276
403	12366	18243
404	12394	18209
405	12420	18172
406	12449	18139
407	12477	18104
408	12505	18070
409	12532	18035
410	12561	18001
411	12592	17972
412	12622	17941
413	12650	17906
414	12680	17875
415	12710	17843
416	12739	17810
417	12768	17777
418	12807	17758
419	12840	17732
420	12873	17704
421	12906	17677
422	12943	17655
423	12974	17625
424	13004	17594
425	13033	17561
426	13063	17529
427	13092	17497
428	13121	17464
429	13154	17436
430	13184	17405
431	13217	17378
432	13247	17347
433	13282	17321
434	13315	17294
435	13347	17266
436	13381	17239
437	13407	17202
438	13439	17173
439	13486	17164
440	13526	17145
441	13561	17120
442	13598	17098
443	13636	17076
444	13671	17051
445	13701	17018
446	13735	16993
447	13766	16962
448	13797	16931
449	13829	16902
450	13859	16870
451	13890	16840
452	13919	16808
453	13951	16778
454	13980	16746
455	14012	16717
456	14045	16688
457	14075	16657
458	14110	16630
459	14142	16601
460	14177	16575
461	14204	16540
462	14232	16507
463	14261	16474
464	14288	16439
465	14320	16410
466	14351	16379
467	14387	16355
468	14421	16328
469	14453	16299
470	14484	16268
471	14514	16236
472	14541	16201
473	14571	16170
474	14603	16141
475	14636	16112
476	14668	16083
477	14699	16052
478	14732	16023
479	14763	15994
480	14798	15968
481	14830	15938
482	14860	15906
483	14890	15874
484	14916	15839
485	14947	15809
486	14976	15776
487	15002	15740
488	15032	15708
489	15061	15676
490	15084	15637
491	15111	15603
492	15138	15567
493	15165	15534
494	15194	15501
495	15219	15465
496	15245	15429
497	15273	15395
498	15299	15360
499	15325	15325
500	15354	15293
501	15383	15260
502	15409	15225
503	15438	15193
504	15464	15158
505	15488	15121
506	15514	15085
507	15540	15050
508	15566	15016
509	15597	14985
510	15624	14952
511	15651	14917
512	15679	14885
513	15706	14850
514	15735	14819
515	15764	14787
516	15797	14758
517	15827	14727
518	15855	14694
519	15883	14661
520	15912	14629
521	15938	14595
522	15966	14562
523	15997	14531
524	16026	14500
525	16052	14465
526	16077	14429
527	16106	14397
528	16134	14365
529	16163	14333
530	16191	14300
531	16217	14266
532	16242	14231
533	16271	14199
534	16298	14165
535	16325	14132
536	16353	14099
537	16385	14071
538	16416	14041
539	16448	14011
540	16475	13977
541	16501	13944
542	16531	13912
543	16560	13881
544	16591	13851
545	16617	13817
546	16645	13784
547	16670	13749
548	16698	13717
549	16722	13682
550	16749	13648
551	16835	13663
552	16873	13639
553	16899	13604
554	16923	13568
555	16947	13533
556	16977	13502
557	17005	13470
558	17034	13438
559	17061	13405
560	17088	13372
561	17116	13340
562	17145	13308
563	17175	13277
564	17201	13243
565	17232	13213
566	17261	13181
567	17285	13147
568	17315	13116
569	17345	13085
570	17373	13053
571	17400	13020
572	17430	12989
573	17455	12954
574	17480	12920
575	17505	12885
576	17529	12851
577	17559	12819
578	17588	12789
579	17622	12761
580	17654	12731
581	17684	12701
582	17719	12673
583	17753	12646
584	17786	12617
585	17819	12588
586	17845	12555
587	17876	12525
588	17906	12495
589	17933	12462
590	17962	12430
591	17991	12399
592	18023	12370
593	18054	12340
594	18082	12308
595	18109	12275
596	18139	12244
597	18167	12213
598	18195	12181
599	18225	12150
600	18253	12118
601	18282	12087
602	18311	12055
603	18335	12020
604	18362	11988
605	18390	11957
606	18420	11926
607	18446	11893
608	18472	11860
609	18494	11824
610	18519	11790
611	18546	11758
612	18574	11726
613	18600	11693
614	18627	11660
615	18654	11628
616	18681	11596
617	18710	11565
618	18735	11531
619	18761	11499
620	18790	11468
621	18820	11437
622	18850	11407
623	18877	11374
624	18905	11343
