iter	Logloss
0	0.6773684024
1	0.6627366407
2	0.6487443577
3	0.6362950658
4	0.624517304
5	0.6139822454
6	0.6036338554
7	0.5938816519
8	0.5854119368
9	0.5772173699
10	0.5696827238
11	0.5628084632
12	0.5563648339
13	0.5503412479
14	0.5447256488
15	0.5390742126
16	0.5339737748
17	0.5293641314
18	0.5249700414
19	0.5210918826
20	0.5174012843
21	0.514043537
22	0.5106701568
23	0.5077569911
24	0.5047927729
25	0.502006235
26	0.4995260583
27	0.4973642558
28	0.4953892429
29	0.4934511198
30	0.4916884003
31	0.4896820436
32	0.4879531146
33	0.48643933
34	0.4848337994
35	0.4833813402
36	0.4823077157
37	0.4813068919
38	0.4802470404
39	0.4792990449
40	0.4781906141
41	0.4771216196
42	0.4761039297
43	0.4752797319
44	0.4744533507
45	0.4738298246
46	0.4730515596
47	0.4724909376
48	0.4719346689
49	0.4713803633
50	0.470847855
51	0.4703528677
52	0.4698084983
53	0.4694272819
54	0.4690630226
55	0.4686580923
56	0.4679897639
57	0.4675856232
58	0.4673207627
59	0.4669261698
60	0.4665557597
61	0.466289503
62	0.4659493615
63	0.4657563518
64	0.465438436
65	0.4651124898
66	0.464954181
67	0.4648300221
68	0.4644869404
69	0.4641110282
70	0.4638192189
71	0.4636065259
72	0.4634372134
73	0.4632454537
74	0.463122779
75	0.4628730211
76	0.4626659244
77	0.4624932889
78	0.4622538743
79	0.462079735
80	0.4619556155
81	0.4618494407
82	0.4616497937
83	0.4614897119
84	0.4613782095
85	0.4613012391
86	0.4612156543
87	0.461055853
88	0.4609584797
89	0.4608549815
90	0.4607747932
91	0.460694464
92	0.4606256925
93	0.4605462536
94	0.4604668909
95	0.4603947671
96	0.4603453786
97	0.4602448406
98	0.4602121593
99	0.4601192083
100	0.4600258767
101	0.4599429216
102	0.4598744145
103	0.4597805913
104	0.4596844127
105	0.4595887663
106	0.4595139142
107	0.4594549351
108	0.4593725518
109	0.4593150287
110	0.4592191784
111	0.4591610327
112	0.4591090185
113	0.4590634692
114	0.4589510679
115	0.4588780215
116	0.4588287348
117	0.4587293548
118	0.4586627228
119	0.4586248653
120	0.4585601533
121	0.4585094256
122	0.4584465307
123	0.4583925431
124	0.4583234073
125	0.4582795583
126	0.4582281776
127	0.458165732
128	0.4581032179
129	0.4580552858
130	0.4580538659
131	0.4579901016
132	0.4579322045
133	0.4579158127
134	0.4579097965
135	0.4578548659
136	0.4578334763
137	0.457786436
138	0.4577830935
139	0.4577429398
140	0.457693547
141	0.4576576525
142	0.4576114224
143	0.4575438929
144	0.4575125359
145	0.4574751765
146	0.4574211589
147	0.4573866015
148	0.4573417121
149	0.4573392529
150	0.4572911752
151	0.4572315864
152	0.4572194708
153	0.4571737131
154	0.4570991203
155	0.4570675477
156	0.4570344468
157	0.457007568
158	0.4569767213
159	0.4569534548
160	0.4569470999
161	0.4569047976
162	0.4568699968
163	0.4568288404
164	0.4567949164
165	0.4567566196
166	0.4567318856
167	0.4566979366
168	0.456664958
169	0.4566441688
