iter	Passed	Remaining
0	106	21254
1	206	20446
2	312	20516
3	415	20365
4	520	20315
5	630	20372
6	742	20480
7	854	20516
8	961	20398
9	1060	20149
10	1175	20192
11	1298	20336
12	1407	20248
13	1545	20527
14	1891	23331
15	2171	24976
16	2327	25054
17	2504	25326
18	2645	25203
19	2768	24920
20	2879	24542
21	2995	24238
22	3128	24079
23	3264	23941
24	3387	23710
25	3506	23468
26	3650	23391
27	3764	23121
28	3880	22881
29	3986	22588
30	4083	22262
31	4177	21930
32	4281	21669
33	4385	21411
34	4477	21106
35	4592	20921
36	4797	21133
37	4964	21163
38	5095	21035
39	5213	20854
40	5324	20649
41	5431	20434
42	5606	20470
43	5702	20216
44	5798	19971
45	5936	19872
46	6075	19776
47	6197	19625
48	6323	19485
49	6455	19366
50	6595	19270
51	6784	19309
52	6928	19216
53	7048	19055
54	7166	18892
55	7286	18736
56	7419	18612
57	7551	18487
58	7660	18306
59	7772	18135
60	7882	17960
61	7997	17799
62	8116	17649
63	8240	17511
64	8351	17344
65	8463	17184
66	8577	17027
67	8702	16893
68	8816	16738
69	8928	16581
70	9039	16424
71	9162	16289
72	9272	16131
73	9379	15970
74	9498	15831
75	9593	15652
76	9693	15483
77	9805	15336
78	9938	15221
79	10052	15078
80	10170	14942
81	10269	14778
82	10364	14609
83	10456	14440
84	10554	14279
85	10652	14120
86	10737	13946
87	10836	13791
88	10930	13632
89	11019	13467
90	11118	13317
91	11207	13156
92	11303	13004
93	11395	12850
94	11494	12704
95	11602	12569
96	11704	12428
97	11797	12278
98	11884	12125
99	11989	11989
100	12083	11844
101	12182	11704
102	12270	11555
103	12368	11416
104	12472	11284
105	12583	11159
106	12707	11044
107	12857	10952
108	12965	10824
109	13059	10685
110	13152	10545
111	13242	10404
112	13356	10283
113	13483	10171
114	13602	10053
115	13701	9922
116	13797	9788
117	13884	9648
118	13995	9526
119	14118	9412
120	14218	9283
121	14315	9152
122	14438	9038
123	14539	8911
124	14645	8787
125	14746	8660
126	14866	8545
127	14987	8430
128	15094	8307
129	15200	8185
130	15304	8060
131	15395	7931
132	15489	7802
133	15594	7680
134	15684	7552
135	15784	7428
136	15884	7304
137	15994	7186
138	16107	7068
139	16218	6950
140	16326	6831
141	16422	6707
142	16515	6583
143	16614	6461
144	16711	6338
145	16812	6218
146	16902	6094
147	16999	5972
148	17116	5858
149	17216	5738
150	17317	5619
151	17424	5502
152	17513	5380
153	17595	5255
154	17687	5135
155	17804	5021
156	17919	4908
157	18026	4791
158	18140	4677
159	18305	4576
160	18476	4475
161	18661	4377
162	18830	4274
163	18974	4165
164	19118	4055
165	19249	3942
166	19361	3825
167	19475	3709
168	19583	3592
169	19719	3479
170	19856	3367
171	19995	3255
172	20146	3144
173	20291	3031
174	20444	2920
175	20597	2808
176	20721	2692
177	20866	2579
178	20967	2459
179	21137	2348
180	21274	2233
181	21397	2116
182	21525	1999
183	21643	1882
184	21810	1768
185	21937	1651
186	22071	1534
187	22201	1417
188	22325	1299
189	22433	1180
190	22574	1063
191	22715	946
192	22835	828
193	22931	709
194	23040	590
195	23157	472
196	23265	354
197	23370	236
198	23478	117
199	23568	0
